Rank,Company Name,Fitness Category,LinkedIn URL
155,ERICSSON AB,Low,https://www.linkedin.com/company/ericsson/
156,ETAP,Low,ma3ndhomch
157,EVERIENCE,Low,ma3ndhomch
158,EXFO SOLUTIONS,Low,https://www.linkedin.com/company/exfo/
159,EY,High,https://www.linkedin.com/company/ey-tunisia/
160,Fabskill,Low,ma3ndhomch
161,FAMY,Low,ma3ndhomch
162,FIDNESS,Low,ma3ndhomch
163,Firma Solutions Startup,Low,ma3ndhomch
164,Focus,Low,ma3ndhomch
165,FORVIA,Medium,https://www.linkedin.com/company/forvia/
166,Forvis Mazars,High,https://www.linkedin.com/company/forvis-mazars-en-tunisie/
167,FUBA,Low,ma3ndhomch
168,GAT ASSURANCES,Medium,ma3ndhomch
169,GEISER 6,Low,ma3ndhomch
170,GLOBAL DISPLAY SOLUTION TUNISIA,Low,ma3ndhomch
171,Global Soft International,Low,ma3ndhomch
172,Grant thornton,High,https://www.linkedin.com/company/forvis-mazars-en-tunisie/
173,GREPSYS,Low,ma3ndhomch
174,GROUPADO,Low,ma3ndhomch
175,GROUPE ALLIANCE,Low,ma3ndhomch
176,GROUPE APEM,Low,ma3ndhomch
177,Groupe AZIZA,Low,ma3ndhomch
178,Groupe CASTEL AFRIQUE,Low,https://www.linkedin.com/company/groupe-castel/
179,GROUPE CHIMIQUE TUNISIEN,Low,ma3ndhomch
180,GROUPE HAMMAMI,Low,ma3ndhomch
181,Groupe HENNER,Medium,https://www.linkedin.com/company/groupe-henner/
182,HAT WEB SECURITY,Low,ma3ndhomch
183,HEWLETT PACKARD ENTREPRISE,High,https://www.linkedin.com/company/hewlett-packard-enterprise/
184,HIKMA,Low,https://www.linkedin.com/company/hikma/
185,Hilton,Low,https://www.linkedin.com/company/hilton/
186,HIPPOMED AI,Medium,ma3ndhomch
187,HOPITAL MILITAIRE,Low,ma3ndhomch
188,HPE,High,https://www.linkedin.com/company/hewlett-packard-enterprise/
189,HUAWEI,High,https://www.linkedin.com/company/huawei-tunisie/
190,IB COM PROD,Low,ma3ndhomch
191,IBTIKAR TECHNOLOGIES,Low,ma3ndhomch
192,IDAF,Low,ma3ndhomch
193,IMBA AFRICA,Low,ma3ndhomch
194,IMH-Groupe,Low,ma3ndhomch
195,IMS DISCOUNT,Low,ma3ndhomch
196,Indigo,Low,ma3ndhomch
197,Inetum,High,https://www.linkedin.com/company/inetum/
198,INNOVA POWER CONCEPT,Low,ma3ndhomch
199,INODEV,Low,ma3ndhomch
200,INSTAD,Low,ma3ndhomch
201,Instadeep,High,https://www.linkedin.com/company/instadeep/
